Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,Pr Passes,CCC,Cr A,Cr C/A,Tck/90,Tck R,Pres A,Pres C,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Wage,Preferred Foot,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,Con/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Jack Robinson,D (LC),31,ENG,"5'11""",64 kg,Fairly Professional,Sheff Utd,£4M - £5M,6.74,0,0,-,0.33,50%,0.16,0.08,0.08,50.78,91%,0.33,40,0,0,-,0.9,65%,37,8,0,1.63,12,11,6.84,5.45,80%,1,0.16,4,11.1km,1,0,1,13,"1,106",4,1,0,85.08,2,84,0,136.3km,2,67,20,4,687,624,17,11,30/6/2026,"£20,500 p/w",Left,0.98,0.65,0.02,4.8,14.73,3.82,3.01,0.65,3.25,0.07,8,-,-,-,0.33,-,-,4,-,-,-,-,-,0.01,-,0.08,Sky Bet Championship,Technical,Centre-back,"Media-friendly, Reserved",0,-,0.98,0,0,0,1.38,0,-,0,0,55.9,0.73,0.08,0.01,-,,- - -
William,"D (RL), WB (R)",29,BRA,"5'9""",67 kg,Fairly Determined,CEC,£750K - £8M,6.8,1,0,-,0.7,23%,0.16,4,0.05,37.85,85%,0.65,246,9,92,9%,2.77,84%,379,101,5,2.42,46,65,3.87,1.93,50%,0,1.68,77,12.7km,6,0,5,46,"3,862",30,2,0,83.96,7,166,9,546.1km,72,83,104,28,"1,908","1,624",142,119,31/12/2025,"£8,500 p/w",Right,0.21,0.47,0.13,16.76,13.42,14.63,8.83,2.35,5.73,0.05,20,-,-,3%,0.65,-,-,28,-,-,-,-,-,0.09,-,4,Brazilian National First Division,Technical,Full-back,Media-friendly,0,0.21,1.07,2.14,0.21,0,1.93,0.12,10%,2.14,0.21,44.46,0.68,0.09,0.09,-,,- - -
Jon Ander Olasagasti,"DM, M (C)",24,ESP,"5'9""",74 kg,Balanced,Real San Sebastián,£110K - £1.1M,6.65,0,0,-,0.46,0%,0,0.09,-,43.06,89%,0.46,15,0,1,100%,1.82,89%,44,9,0,1.37,1,4,4.33,1.82,42%,0,0.91,2,11.8km,0,0,0,2 (8),395,2,0,0,39.5,0,19,1,52.0km,4,8,6,2,213,189,9,8,30/6/2024,"£3,000 p/w",Left,0.23,-,0.04,10.71,9.34,8.66,10.03,2.05,3.42,0.04,0,-,-,-,0.46,-,-,2,-,-,-,-,-,0.02,-,0.09,Spanish First Division,Technical,Defensive midfielder,Media-friendly,0,-,0.23,0.23,0.23,0,2.51,0,100%,0.23,0.23,48.53,0.23,0.23,0.02,-,Wnt,- - -
Jorge Pulido,D (C),33,ESP,"6'1""",72 kg,Fairly Loyal,Huesca,Not for Sale,6.96,0,0,-,0.56,29%,0.16,2.39,0.16,50.86,92%,0.4,49,1,3,-,1.36,85%,39,15,5,1.36,18,15,7.49,5.34,71%,0,0.16,4,11.3km,4,1,0,13,"1,129",7,2,0,86.85,2,94,0,142.2km,2,67,17,5,693,638,20,17,30/6/2025,"£3,900 p/w",Right,0.96,0.8,0.34,5.5,14.91,3.03,3.11,1.2,3.91,0.01,10,-,-,-,0.4,-,-,5,-,-,-,-,-,0.19,-,2.39,Spanish Second Division,Leader,Experienced centre-back,Outspoken,0,0.08,1.43,0.24,0,0,2.15,0.4,0%,0.24,0,55.24,1.2,0,0.19,-,,- - -
Oussama Targhalline,"DM, M (C)",22,MAR,"6'1""",70 kg,Balanced,Havre AC,£5.2M - £7.8M,6.64,0,0,-,1.31,33%,0.44,0.24,-,44.13,89%,0.44,9,2,0,-,1.75,100%,26,4,1,1.75,2,0,3.06,1.31,43%,0,0.44,1,11.8km,0,0,0,0 (11),206,3,0,0,18.73,1,7,0,27.1km,1,3,4,1,114,101,4,4,30/6/2026,"£7,250 p/w",Right,0,0.44,0.08,10.92,10.49,3.5,11.36,1.75,3.93,0.14,1,-,-,-,0.44,-,-,1,-,-,-,-,-,0.1,-,0.24,Ligue 1 Uber Eats,Technical,Defensive midfielder,Level-headed,0,0.87,0.87,0,0,0,1.75,0.44,-,0,0,49.81,0,0,0.1,-,,- - -
Jona Niemiec,"AM (R), ST (C)",23,POL,"6'2""",85 kg,Fairly Professional,Düsseldorf,£350K - £1M,6.54,1,0,-,3.17,38%,1.19,2.09,-,21.41,92%,-,0,0,1,-,0.79,67%,24,3,0,0.79,1,3,8.72,3.96,45%,0,1.98,6,12.8km,0,0,1,1 (6),227,8,0,0,32.43,3,22,0,32.2km,5,10,2,0,59,54,3,2,30/6/2025,"£4,100 p/w",Right,0,-,0.26,7.53,1.19,25.77,9.52,1.19,0,0.05,0,-,-,13%,0,-,-,0,-,-,-,-,-,0.83,-,2.09,Bundesliga 2,Physical,Striker,Reserved,0,-,0.4,0.4,0,0,4.76,0,0%,0.4,0,23.39,0,0.4,0.83,-,,- - -
Justin Hoogma,D (C),26,NED,"6'3""",81 kg,Fairly Ambitious,FC Twente/Heracles Academie,£140K - £1.4M,6.86,2,0,-,0.4,40%,0.16,0.4,-,48.82,92%,0.16,46,1,1,-,1.03,81%,33,14,4,1.59,13,1,6.76,3.98,59%,0,-,3,10.9km,0,0,0,13,"1,132",5,0,0,87.08,2,85,0,137.3km,0,50,20,2,668,614,16,13,30/6/2025,"£3,400 p/w",Left,0.8,0.72,0.08,4.93,18.05,2.54,2.62,1.11,3.66,0.09,9,-,-,40%,0.16,-,-,2,-,-,-,-,-,0.03,-,0.4,Dutch Reserve Competition Eredivisie,Intelligent,Centre-back,Level-headed,0,0.08,1.03,0.08,0,0,2.78,0.32,0%,0.08,0,53.11,1.11,0.24,0.03,-,,- - -
Sergi Palencia,"D (RL), WB (R)",28,ESP,"5'6""",67 kg,Professional,LAFC,£65K - £4.7M,6.99,3,0,-,0.6,26%,0.16,2.44,0.08,19.9,78%,0.13,44,2,18,5%,1.93,95%,93,16,2,0.65,9,70,0.89,0.31,35%,0,0.31,55,2.8km,1,1,0,38,"3,450",23,3,0,90.79,6,34,1,106.9km,12,12,25,5,982,763,78,74,31/12/2024,"£6,750 p/w",Right Only,0,0.13,0.11,3.94,2.87,2.37,2.43,0.42,1.15,0.14,5,-,-,13%,0.13,-,-,5,-,-,-,-,-,0.06,-,2.44,Major League Soccer,Intelligent,Full-back,Reserved,0,0.05,0.23,0.47,0.03,0,0.57,0.05,6%,0.47,0.03,25.62,0.16,0.03,0.06,-,,- - -
Jan Boller,"D (RC), WB (R), DM",24,GER,"6'1""",71 kg,Fairly Professional,Düsseldorf,£30K - £300K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2024,"£3,100 p/w",Right,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bundesliga 2,Physical,Centre-back,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Loa,- - -
Emiliano Martínez,"DM, M (C)",25,URU,"6'0""",64 kg,Balanced,FC Midtjylland,£4.3M - £5.4M,6.8,0,0,-,0.47,33%,0.16,0.93,0.16,37.3,85%,1.34,45,4,16,31%,1.9,77%,141,31,0,1.11,8,21,4.27,2.53,59%,0,0.87,12,11.8km,2,0,4,16 (2),"1,139",6,2,0,63.28,2,54,5,149.5km,11,32,14,17,554,472,31,24,30/6/2026,"£9,000 p/w",Right,0.79,0.16,0.15,9.09,16.83,10.04,11.14,2.45,3.56,0.12,2,-,-,-,1.34,-,-,17,-,-,-,-,-,0.07,-,0.93,3F Superliga,Technical,Defensive midfielder,Level-headed,0,0.32,0.63,1.26,0.4,0,1.74,0,31%,1.26,0.4,43.78,0,0.16,0.07,-,,- - -
Aribim Pepple,ST (C),21,CAN,"6'1""",83 kg,Resolute,Southend,£6K - £60K,6.77,6,0,-,2.05,48%,0.98,2.13,-,19.75,86%,0.33,6,3,16,-,1.15,56%,89,28,0,1.07,4,20,12.46,3.85,31%,0,1.48,29,11.6km,0,0,11,12 (3),"1,098",25,0,0,73.2,12,152,0,141.4km,18,47,13,4,281,241,25,14,30/6/2024,"£3,000 p/w",Right,0,0.25,0.09,6.72,2.05,23.03,7.3,2.3,0.49,0.12,3,-,-,24%,0.33,-,-,4,-,-,-,-,-,0.17,-,2.13,Vanarama National League,Physical,Striker,"Media-friendly, Reserved",0,0.25,0.33,1.31,0,2,8.61,0,0%,0.49,0,23.03,0,0.82,0.17,-,,- - -
Robin Meißner,"AM (RL), ST (C)",25,GER,"6'0""",78 kg,Balanced,Dynamo Dresden,£24K - £240K,7.1,1,0,-,4.38,29%,1.25,2.07,-,26.25,82%,1.88,4,0,4,50%,3.12,100%,24,5,0,0.62,1,1,3.75,2.5,67%,0,4.38,2,12.6km,0,0,2,1 (2),144,7,0,0,48,2,6,2,20.1km,7,4,1,3,51,42,5,5,30/6/2024,"£3,000 p/w",Right,0,0.62,0.3,15.62,2.5,16.88,15,3.12,2.5,0,1,-,-,14%,1.88,-,-,3,-,-,-,-,-,1.29,-,2.07,3. Liga,Intelligent,Striker,Media-friendly,0,-,0.62,2.5,1.25,0,1.25,0,50%,2.5,1.25,31.88,0,1.25,1.29,-,,- - -
Bryan Henning,"DM, M (RC)",29,GER,"5'8""",73 kg,Balanced,FC Viktoria Köln,£90K - £900K,6.79,0,0,-,0.79,20%,0.16,1.17,-,45.16,91%,0.87,41,0,5,-,2.05,74%,118,35,2,1.1,8,14,2.76,0.71,26%,0,0.55,1,12.8km,2,0,1,15,"1,142",10,0,0,76.13,2,35,0,161.9km,7,9,14,11,630,573,35,26,30/6/2024,"£2,800 p/w",Right,0.24,0.16,0.12,11.03,11.74,7.49,9.3,2.76,3.23,0.09,2,-,-,-,0.87,-,-,11,-,-,-,-,-,0.09,-,1.17,3. Liga,Physical,Defensive midfielder,Level-headed,0,-,0.63,0.39,0,0,2.05,0.16,0%,0.39,0,49.65,0.16,0.16,0.09,-,,- - -
Ben Waine,"AM (L), ST (C)",23,NZL,"5'10""",79 kg,Fairly Determined,Mansfield,£150K - £450K,6.86,7,0,-,1.93,52%,1,4.25,0.07,20.1,88%,0.72,9,2,10,30%,1.65,92%,90,24,0,0.93,7,16,11.95,5.08,43%,0,0.86,21,11.7km,0,0,9,16,"1,258",27,1,0,78.62,14,167,3,163.1km,12,71,13,10,319,281,25,23,30/6/2024,"£4,000 p/w",Right,0.14,0.14,0.16,7.01,2,16.6,6.44,1.72,0.64,0.04,2,-,-,26%,0.72,-,-,10,-,-,-,-,-,0.3,-,4.25,Sky Bet League One,Physical,Striker,Level-headed,0,0.14,0.5,0.72,0.21,1,6.87,0,30%,0.72,0.21,22.82,0,0.43,0.3,-,,- - -
Moussa Doumbouya,"AM (RL), ST (C)",26,GUI,"6'2""",85 kg,Balanced,RW Essen,£20K - £190K,6.71,2,0,-,5.9,60%,3.54,2.13,-,20.07,84%,-,1,0,4,50%,1.48,100%,25,4,0,0.59,0,5,10.62,4.72,44%,0,1.18,9,12.0km,0,0,3,0 (11),305,20,0,0,27.73,12,36,2,40.8km,4,16,2,0,81,68,5,5,30/6/2024,"£2,600 p/w",Right Only,0,-,0.11,6.49,0.59,17.41,7.38,1.18,0.3,0.04,0,-,-,10%,0,-,-,0,-,-,-,-,-,0.63,-,2.13,3. Liga,Technical,Striker,Media-friendly,0,-,0,1.18,0.59,0,5.9,0,50%,1.18,0.59,23.9,0,2.36,0.63,-,,- - -
Juan Antonio Ros,"D (C), DM, M (C)",28,ESP,"6'2""",83 kg,Balanced,Albacete,£28K - £275K,6.77,0,0,-,0.55,29%,0.16,1.67,-,45.12,92%,0.7,53,1,3,-,1.72,71%,127,31,1,2.11,15,15,5.54,2.73,49%,0,0.86,11,12.3km,2,0,0,13,"1,153",7,0,0,88.69,2,71,0,158.2km,11,35,27,9,630,578,31,22,30/6/2024,"£2,700 p/w",Right,0.47,0.55,0.24,10.46,9.44,8.35,9.91,2.42,4.14,0.04,7,-,-,-,0.7,-,-,9,-,-,-,-,-,0.13,-,1.67,Spanish Second Division,Intelligent,Centre-back,Media-friendly,0,0.08,1.17,0.23,0,0,2.81,0.08,0%,0.23,0,49.18,0.31,0.08,0.13,-,,- - -
Lars Kehl,M/AM (RC),22,GER,"5'8""",71 kg,Balanced,Osnabrück,£80K - £800K,6.78,1,0,-,3.08,20%,0.62,1.03,0.31,24.04,80%,1.23,12,2,7,-,2.47,100%,32,9,0,1.54,1,3,6.16,1.54,25%,0,1.23,3,12.3km,0,0,1,0 (11),292,10,1,0,26.55,2,20,0,39.9km,4,5,5,4,97,78,8,8,30/6/2024,"£3,300 p/w",Right,0,-,0.1,12.33,5.24,13.25,9.86,2.77,3.7,0.22,0,-,-,10%,1.23,-,-,4,-,-,-,-,-,0.32,-,1.03,3. Liga,Technical,Attacking midfielder,Level-headed,1,0.62,0.31,2.16,0,1,4.62,0,0%,2.16,0,29.9,0,0.92,0.32,-,,- - -
Robin Fellhauer,"D (RC), WB (R), DM",26,GER,"6'0""",75 kg,Perfectionist,Elversberg,£650K - £1.4M,6.86,1,0,-,0.72,22%,0.16,1.88,-,40.87,87%,0.96,78,1,35,8%,3.13,85%,109,36,1,1.84,18,12,6.41,4.01,63%,0,0.56,20,12.9km,0,0,0,14,"1,123",9,0,0,80.21,2,80,3,160.9km,7,50,23,12,587,510,46,39,30/6/2026,"£2,900 p/w",Right Only,0.8,0.48,0.21,17.47,12.5,12.98,8.74,2.89,6.25,0.08,6,-,-,11%,0.96,-,-,12,-,-,-,-,-,0.15,-,1.88,Bundesliga 2,Leader,Full-back,Evasive,0,0.08,1.44,2.8,0.24,1,2.4,0.08,9%,2.8,0.24,47.04,0.56,0.24,0.15,-,,- - -
Maximilian Thalhammer,"DM, M (C)",27,GER,"6'3""",80 kg,Fairly Professional,SV Waldhof,£45K - £425K,6.92,0,0,-,0.56,29%,0.16,1.3,0.4,45.88,90%,1.28,57,8,9,55%,1.76,61%,119,36,0,1.2,17,11,4.48,2.48,55%,0,0.8,13,12.4km,0,0,0,14,"1,124",7,5,0,80.29,2,56,5,154.7km,10,31,15,16,637,573,36,22,30/6/2024,"£4,500 p/w",Right,0.72,0.4,0.19,11.13,14.81,5.6,9.53,2.88,4.56,0.21,5,-,-,-,1.28,-,-,16,-,-,-,-,-,0.1,-,1.3,3. Liga,Technical,Defensive midfielder,Reserved,0,0.64,1.36,0.72,0.4,0,2,0,56%,0.72,0.4,51.01,0.56,0.16,0.1,-,,- - -
Diego Villares,"DM, M (C)",28,ESP,"6'1""",75 kg,Balanced,Coruña,£425K - £1.2M,6.8,1,0,-,0.63,25%,0.16,0.76,0.16,39.27,88%,1.18,29,6,9,22%,2.36,81%,132,39,1,1.65,9,19,4.71,3.14,67%,0,1.02,12,12.4km,2,0,1,14,"1,146",8,2,0,81.86,2,60,2,158.5km,13,40,21,15,570,500,37,30,30/6/2024,"£3,900 p/w",Right,0.16,0.39,0.1,10.13,16.96,13.74,10.37,3.06,2.28,0.2,5,-,-,13%,0.71,-,-,9,-,-,-,-,-,0.06,-,0.76,Spanish Second Division,Physical,Midfielder,Media-friendly,0,0.47,0.71,0.71,0.16,0,1.57,0.08,22%,0.71,0.16,44.76,0,0.16,0.06,-,,- - -
Borja Sánchez,M/AM (LC),28,ESP,"6'1""",80 kg,Balanced,Burgos,£120K - £1.2M,6.74,0,0,-,0.82,20%,0.16,0.41,-,25.2,81%,2.13,23,2,22,14%,2.45,75%,72,23,0,2.62,5,5,4.75,0.98,21%,0,1.96,6,12.1km,0,0,0,7 (4),550,5,0,0,50,1,29,3,74.2km,12,6,16,13,189,154,20,15,30/6/2026,"£3,200 p/w",Right,0.16,0.16,0.08,14.24,5.89,11.29,11.78,3.76,3.76,0.15,1,-,-,-,1.64,-,-,10,-,-,-,-,-,0.07,-,0.41,Spanish Second Division,Intelligent,Winger,Media-friendly,0,0.33,0.82,3.6,0.49,0,3.76,0,14%,3.44,0.49,30.93,0,0.33,0.07,-,,- - -
Mihajlo Ivančević,"D (C), DM",25,SRB,"6'3""",80 kg,Balanced,OB,£65K - £650K,6.52,0,0,-,0.49,33%,0.16,0.19,-,41.79,84%,0.82,23,2,3,66%,0.66,50%,44,8,2,1.65,8,3,5.59,3.13,56%,0,-,2,11.2km,1,0,0,4 (8),547,3,0,0,45.58,1,34,2,68.3km,0,19,10,5,302,254,8,4,30/6/2024,"£3,400 p/w",Right,0.16,0.49,0.06,7.73,13.66,3.95,7.24,1.32,3.78,0.07,3,-,-,-,0.82,-,-,5,-,-,-,-,-,0.03,-,0.19,NordicBet Liga,Technical,Centre-back,Level-headed,0,0.33,1.32,0.49,0.33,1,2.47,0.33,67%,0.49,0.33,49.69,0.33,0.16,0.03,-,Wnt,- - -
David Douline,"DM, M (C)",31,FRA,"6'0""",83 kg,Fairly Determined,Servette,£140K - £1.4M,6.69,1,0,-,0.54,29%,0.16,1.73,0.08,29.04,82%,0.62,22,0,5,20%,1.71,76%,74,15,0,0.23,4,26,2.65,1.4,53%,0,0.16,16,7.1km,3,1,0,13,"1,156",7,1,0,88.92,2,34,1,90.6km,2,18,3,8,456,373,29,22,30/6/2024,"£5,500 p/w",Right Only,0.16,0.16,0.25,6.93,5.22,4.36,5.76,1.17,1.71,0.08,2,-,-,14%,0.62,-,-,8,-,-,-,-,-,0.13,-,1.73,Swiss Super League,Leader,Defensive midfielder,Level-headed,0,-,0.31,0.39,0.08,0,1.25,0,20%,0.39,0.08,35.5,0.23,0.08,0.13,-,,- - -
Paul Marie,D (RL),29,FRA,"5'8""",69 kg,Balanced,San Jose,£240K - £2.4M,6.2,1,0,-,0.7,22%,0.16,0.78,-,19.26,71%,0.08,2,0,7,-,2.41,94%,14,5,1,0.23,2,14,0.23,0,0%,0,0.08,21,0.8km,0,0,0,12 (5),"1,159",9,0,0,68.18,2,3,0,10.3km,1,0,3,1,351,248,33,31,31/12/2025,"£2,900 p/w",Right,0,0.08,0.09,0.93,0.39,2.1,1.09,0.39,0.16,0.01,1,-,-,11%,0.08,-,-,1,-,-,-,-,-,0.06,-,0.78,Major League Soccer,Physical,Full-back,Media-friendly,0,-,0.16,0.54,0,0,0.23,0.08,0%,0.54,0,27.26,0,0,0.06,-,Ask,- - -
Luis Rojas,M/AM (C),22,CHI,"5'11""",80 kg,Resolute,Crotone,£70K - £700K,6.61,0,0,-,2.51,57%,1.43,0.51,-,40.88,87%,1.08,12,2,2,-,1.79,100%,34,8,0,1.43,3,1,1.79,1.08,60%,0,0.36,3,11.8km,1,0,0,0 (8),251,7,0,0,31.38,4,5,0,33.0km,1,3,4,3,131,114,5,5,30/6/2024,"£5,000 p/w",Right,0,0.36,0.07,8.96,10.04,16.85,12.19,2.87,4.3,0.18,1,-,-,-,1.08,-,-,3,-,-,-,-,-,0.18,-,0.51,Italian Serie C/C,Technical,Attacking midfielder,Media-friendly,1,0.72,1.08,0.72,0,0,0.72,0,0%,0.72,0,46.97,0,1.43,0.18,-,,- - -
Emerson Santos,D (RC),29,BRA,"6'0""",75 kg,Balanced,PON,£20K - £200K,6.97,1,0,-,0.64,25%,0.16,0.18,-,44.28,85%,0.96,28,1,5,20%,1.44,100%,17,5,1,1.12,9,4,7.54,5.61,74%,0,0.64,5,11.0km,2,0,0,7,561,4,0,0,80.14,1,47,1,68.8km,4,35,7,6,324,276,9,9,31/12/2023,"£2,900 p/w",Right,0.64,0.48,0.04,6.1,12.35,4.97,2.73,0.8,4.49,0.05,3,-,-,25%,0.48,-,-,3,-,-,-,-,-,0.03,-,0.18,Brazilian National Second Division,Physical,Centre-back,Level-headed,0,0.16,1.44,0.8,0.16,0,1.93,0.16,20%,0.8,0.16,51.98,0.8,0.32,0.03,-,Inj,- - -
Raimonds Krollis,"AM (C), ST (C)",23,LVA,"6'1""",74 kg,Fairly Determined,Triestina,£120K - £1.2M,6.7,2,0,-,2.35,36%,0.86,1.38,-,18.81,87%,0.43,2,1,4,25%,1.5,78%,28,8,0,0.64,0,7,9.83,2.57,26%,0,1.07,13,11.8km,0,0,4,6,421,11,0,0,70.17,4,46,1,55.4km,5,12,3,2,101,88,9,7,30/6/2025,"£2,900 p/w",Left,0,0.21,0.13,6.63,1.92,21.81,5.99,1.71,0.43,0,1,-,-,18%,0.43,-,-,2,-,-,-,-,-,0.3,-,1.38,Italian Serie C/A,Leader,Striker,Media-friendly,0,0.21,0,0.86,0.21,1,7.27,0,25%,0.86,0.21,21.59,0,0.43,0.3,-,Inj,- - -
Murray Wallace,"D (LC), WB (L)",31,SCO,"6'2""",75 kg,Resolute,Millwall,£220K - £2.2M,6.72,0,0,-,0.66,25%,0.16,0.54,0.08,42.12,86%,0.9,62,2,20,5%,3.29,85%,94,17,3,2.06,12,18,6.42,4.11,64%,1,0.66,4,12.7km,1,1,0,13 (1),"1,094",8,1,0,78.14,2,78,1,154.7km,8,50,25,11,596,512,47,40,30/6/2024,"£9,000 p/w",Left,0.58,0.99,0.07,13.33,9.87,11.85,7.73,1.4,5.1,0.08,12,-,-,-,0.9,-,-,11,-,-,-,-,-,0.04,-,0.54,Sky Bet Championship,Physical,Centre-back,Reserved,0,0.16,0.99,1.65,0.08,0,2.3,0.25,5%,1.65,0.08,49.03,0.66,0.25,0.04,-,,- - -
Dominik Kother,M/AM (RL),24,GER,"5'11""",72 kg,Fairly Professional,Regensburg,£90K - £250K,6.5,0,0,-,-,0%,-,0.18,-,-,80%,-,0,0,0,-,-,-,1,0,0,-,0,0,-,-,0%,0,-,0,-,0,0,0,0 (1),22,1,0,0,22,0,2,0,3.5km,1,0,0,0,5,4,0,-,30/6/2024,"£4,100 p/w",Right,-,-,0.18,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.18,Bundesliga 2,Creative,Winger,Level-headed,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,Loa,- - -
Rico Preißinger,"DM, M (LC)",28,GER,"6'1""",80 kg,Balanced,Münster,£24K - £240K,6.78,0,0,-,1.18,33%,0.39,0.54,0.39,42.84,85%,0.79,8,0,1,-,1.97,71%,20,8,0,0.79,2,2,3.54,2.75,78%,0,0.79,0,14.6km,0,0,0,0 (6),229,3,1,0,38.17,1,9,0,37.2km,2,7,2,2,128,109,7,5,30/6/2024,"£3,600 p/w",Left,0,0.39,0.18,14.54,11.4,4.72,7.86,3.14,3.14,0.16,1,-,-,-,0.79,-,-,2,-,-,-,-,-,0.21,-,0.54,Bundesliga 2,Leader,Defensive midfielder,Level-headed,0,-,0.79,0.39,0,0,0.79,0,0%,0.39,0,50.31,0.79,0,0.21,-,,- - -
Josh Eccles,"D/WB (R), DM, M (C)",24,ENG,"5'11""",66 kg,Balanced,Coventry,£900K - £9.6M,6.95,1,0,-,0.32,50%,0.16,0.08,0.16,45.75,88%,1.42,63,4,16,-,2.45,78%,115,43,2,2.05,10,17,2.84,1.42,50%,0,0.79,6,12.6km,0,0,1,13 (2),"1,141",4,2,0,76.07,2,36,2,159.5km,10,18,26,18,659,580,40,31,30/6/2026,"£4,500 p/w",Right,0.16,0.39,0.02,11.04,12.3,7.18,9.07,3.39,4.97,0.18,5,-,-,25%,1.18,-,-,15,-,-,-,-,-,0.01,-,0.08,Sky Bet Championship,Technical,Midfielder,Media-friendly,0,0.32,0.79,1.26,0.16,0,1.42,0.16,13%,0.47,0,51.98,0.16,0.08,0.01,-,,- - -
Alexander Brunst,GK,29,GER,"6'5""",88 kg,Fairly Professional,Darmstadt 98,£110K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2026,"£4,100 p/w",Right Only,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bundesliga 2,Assertive,Goalkeeper,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wnt,- - -
Wilfried Gnonto,"AM (RLC), ST (C)",21,ITA,"5'7""",71 kg,Fairly Determined,Leeds,£12.5M - £19M,6.92,4,2,100%,2.95,51%,1.51,4.96,0.14,19.04,81%,0.96,19,1,12,-,1.23,67%,114,33,1,0.89,5,13,4.93,0.68,14%,0,1.92,34,11.7km,1,0,5,16,"1,314",43,2,2,82.12,22,72,0,171.5km,28,10,13,14,342,278,27,18,30/6/2027,"£13,250 p/w",Right,0,0.14,0.12,7.6,1.99,15.14,7.81,2.26,1.3,0.1,2,-,-,9%,0.96,-,-,14,-,-,-,-,-,0.34,-,4.96,Sky Bet Championship,Physical,Striker,Media-friendly,0,0.07,0.34,0.82,0,1,4.25,0.07,0%,0.82,0,23.42,0,0.82,0.34,-,,- - -
Agustín Álvarez,ST (C),23,URU,"5'10""",71 kg,Fairly Professional,Elche,£220K - £2.2M,6.72,5,0,-,2.26,35%,0.79,2.32,-,20.41,85%,1.28,10,1,4,25%,1.18,86%,71,14,0,1.08,8,8,8.93,1.96,22%,0,0.88,19,11.2km,0,0,3,12,917,23,0,0,76.42,8,91,1,114.6km,9,20,11,13,244,208,14,12,30/6/2024,"£21,000 p/w",Right,0,0.29,0.1,5.89,1.96,20.71,6.97,1.37,0.98,0.07,3,-,-,22%,0.79,-,-,8,-,-,-,-,-,0.23,-,2.32,Spanish Second Division,Intelligent,Striker,Level-headed,1,0.1,0.79,0.39,0.1,0,6.97,0,25%,0.39,0.1,23.95,0,0.49,0.23,-,,- - -
Jordy Gaspar,"D (RL), WB (R)",27,ANG,"5'8""",59 kg,Balanced,Pau FC,£50K - £475K,6.53,0,0,-,0.95,17%,0.16,1.62,-,39.17,84%,1.1,68,2,45,8%,2.76,88%,106,28,2,1.58,26,14,4.18,2.21,53%,0,1.02,15,12.3km,2,0,1,13,"1,142",12,0,0,87.85,2,53,4,156.6km,13,28,20,14,593,497,40,35,30/6/2024,"£3,400 p/w",Right,0.16,0.71,0.14,15.53,11.66,13.95,8.35,2.21,5.36,0.07,9,-,-,-,1.1,-,-,14,-,-,-,-,-,0.13,-,1.62,Ligue 2 BKT,Technical,Full-back,Media-friendly,0,0.16,2.05,3.55,0.32,0,1.97,0.16,9%,3.55,0.32,46.73,0.71,0,0.13,-,,- - -
